Source feature	Target feature	Weight	Dependency
SAHUL4.3.09a	SAHUL032	0.944953612338123	0.055046387661877
SAHUL4.3.08a	SAHUL4.3.08	0.744175879633369	0.255824120366631
SAHUL097	SAHUL095	0.818001109833344	0.181998890166656
SAHUL2.5.07	SAHUL056	0.562388209677948	0.437611790322052
SAHUL096	SAHUL135	0.721746003365572	0.278253996634428
SAHUL096	SAHUL139	0.935160544376668	0.064839455623332
SAHUL096	SAHUL111	0.821491697140185	0.178508302859815
SAHUL095	SAHUL144	0.932454867043917	0.067545132956083
SAHUL098	SAHUL149	0.421439207321982	0.578560792678018
SAHUL098	SAHUL017	0.951936282973388	0.0480637170266121
SAHUL056	SAHUL041	0.835840056614512	0.164159943385488
SAHUL056	SAHUL038	0.755490670393188	0.244509329606812
SAHUL056	SAHUL050	0.407042539858698	0.592957460141302
SAHUL125	SAHUL108	0.936697708893079	0.063302291106921
SAHUL124	SAHUL125	0.900721913110603	0.099278086889397
SAHUL157	SAHUL153	0.735291433514871	0.264708566485129
SAHUL157	SAHUL148	0.695069090767727	0.304930909232273
SAHUL157	SAHUL143	0.796585179702547	0.203414820297453
SAHUL153	SAHUL2.1.05b	0.827668729552198	0.172331270447802
SAHUL153	SAHUL047	0.901732573721029	0.098267426278971
SAHUL153	SAHUL154	0.81489618634883	0.18510381365117
SAHUL4.3.08	SAHUL4.3.07	0.837815882690729	0.162184117309271
SAHUL4.3.08	SAHUL121	0.767917484574282	0.232082515425718
SAHUL048	SAHUL112	0.904854181075685	0.095145818924315
SAHUL160	SAHUL158	0.917949640841159	0.082050359158841
SAHUL1.1.02	SAHUL1.1.03	0.876076259553696	0.123923740446304
SAHUL1.1.02	SAHUL008	0.749690130777053	0.250309869222947
SAHUL156	SAHUL040	0.680534476823326	0.319465523176674
SAHUL027	SAHUL057	0.786062848386869	0.213937151613131
SAHUL147	SAHUL3.6.05	0.874248610749429	0.125751389250571
SAHUL1.1.03	SAHUL4.3.09a	0.890225150208422	0.109774849791578
SAHUL1.1.03	SAHUL001	0.524303266696229	0.475696733303771
SAHUL1.1.03	SAHUL005	0.862619727741723	0.137380272258277
SAHUL2.1.05b	SAHUL134	0.575900639203015	0.424099360796985
SAHUL2.1.05b	SAHUL024	0.49084348379904	0.50915651620096
SAHUL2.1.05d	SAHUL025	0.451755705146851	0.548244294853149
SAHUL024	SAHUL088	0.846840916485648	0.153159083514352
SAHUL024	SAHUL2.1.05d	0.926299917419883	0.073700082580117
SAHUL024	SAHUL2.1.05a	2.22044604925031e-16	1
SAHUL024	SAHUL130	0.771223391991173	0.228776608008827
SAHUL025	SAHUL2.1.05c	2.22044604925031e-16	1
SAHUL025	SAHUL116	0.744461195504147	0.255538804495853
SAHUL025	SAHUL2.2.03	0.686282553384381	0.313717446615619
SAHUL025	SAHUL063	0.900037912647222	0.099962087352778
SAHUL123	SAHUL122	0.835518994457474	0.164481005542526
SAHUL2.1.05a	SAHUL138	0.799585382915032	0.200414617084968
SAHUL2.1.05a	SAHUL137	0.764614953354179	0.235385046645821
SAHUL034	SAHUL097	0.607505692482609	0.392494307517391
SAHUL126	SAHUL145	0.548717313099882	0.451282686900118
