rowname	SAHUL4.3.09a	SAHUL4.3.08a	SAHUL127	SAHUL097	SAHUL2.5.07	SAHUL096	SAHUL095	SAHUL098	SAHUL056	SAHUL125	SAHUL124	SAHUL157	SAHUL153	SAHUL4.3.08	SAHUL048	SAHUL049	SAHUL135	SAHUL160	SAHUL1.1.02	SAHUL120	SAHUL156	SAHUL119	SAHUL4.3.05a	SAHUL134	SAHUL4.3.07	SAHUL088	SAHUL027	SAHUL121	SAHUL147	SAHUL1.1.03	SAHUL2.1.05b	SAHUL2.1.05d	SAHUL024	SAHUL025	SAHUL123	SAHUL2.1.05a	SAHUL034	SAHUL047	SAHUL126	SAHUL014	SAHUL055	SAHUL122	SAHUL148	SAHUL2.1.05c	SAHUL078	SAHUL154	SAHUL2.6.09b	SAHUL149	SAHUL2.7.03a	SAHUL065	SAHUL144	SAHUL2.6.09a	SAHUL015	SAHUL143	SAHUL159	SAHUL2.7.03b	SAHUL021	SAHUL002	SAHUL110	SAHUL112	SAHUL069	SAHUL104	SAHUL081	SAHUL108	SAHUL145	SAHUL146	SAHUL026	SAHUL080	SAHUL083	SAHUL114	SAHUL3.5.02	SAHUL037	SAHUL068	SAHUL082	SAHUL084	SAHUL085	SAHUL023	SAHUL128	SAHUL016	SAHUL018	SAHUL019	SAHUL079	SAHUL140	SAHUL150	SAHUL022	SAHUL035	SAHUL3.6.05	SAHUL115	SAHUL130	SAHUL152	SAHUL029	SAHUL040	SAHUL041	SAHUL067	SAHUL151	SAHUL158	SAHUL031	SAHUL109	SAHUL118	SAHUL155	SAHUL012	SAHUL116	SAHUL008	SAHUL009	SAHUL039	SAHUL4.1.02	SAHUL057	SAHUL4.1.01	SAHUL001	SAHUL105	SAHUL2.7.01	SAHUL2.7.02	SAHUL2.5.08	SAHUL013	SAHUL058	SAHUL2.6.01	SAHUL086	SAHUL087	SAHUL106	SAHUL129	SAHUL139	SAHUL1.1.12	SAHUL142	SAHUL3.1.03	SAHUL113	SAHUL117	SAHUL132	SAHUL133	SAHUL138	SAHUL141	SAHUL103	SAHUL2.2.03	SAHUL066	SAHUL137	SAHUL131	SAHUL100	SAHUL136	SAHUL043	SAHUL111	SAHUL042	SAHUL099	SAHUL044	SAHUL093	SAHUL094	SAHUL020	SAHUL101	SAHUL102	SAHUL089	SAHUL090	SAHUL091	SAHUL092	SAHUL107	SAHUL033	SAHUL072	SAHUL032	SAHUL036	SAHUL059	SAHUL060	SAHUL038	SAHUL050	SAHUL063	SAHUL017	SAHUL061	SAHUL062	SAHUL064	SAHUL010	SAHUL011	SAHUL030	SAHUL005	SAHUL006	SAHUL028	SAHUL004	SAHUL007	SAHUL003
SAHUL4.3.09a	1	3.282024388332011e-4	0.007432904566981828	0.015533241432958058	0.002149356044779844	0.06359545599413739	0.040820851431007873	0.05150000137980894	0.00531056244267681	0.0019441581860036915	0.0379729520331541	0.06296951630743035	0.021351573312963727	0.01288140426839731	0.0016048026805339068	0.0011541115876063427	0.06725352246863578	3.0600494297494186e-4	0.044418814365184	0.003775165495922036	0.04958298333172252	0.0381758969736548	0.03491594308656757	4.6898956805146476e-5	0.008024886010202936	4.036964174479908e-4	0.018604112442287594	0.059581679198179735	0.02690972918961119	0.050202246640007005	0.023677998308918768	1.8605966596105814e-4	0.023328374466238245	0.011634366205369112	3.123941245056671e-4	0.03904411297661981	0.00398647860295401	0.008824602218061653	0.007014959407210056	0.004316262476099727	0.0035553801045044974	1.3648663875668563e-4	0.06535863303688652	0.0013433561729934971	0.003900023396510999	0.002590395394439903	0.04980590537997093	0	2.700748051038046e-4	0.023894049726827956	0.004151262395826546	0.05423945422571747	0.0077496448244415515	0.01339925516690957	1.8202424373427112e-5	7.319930077160199e-4	0.0319031101344334	0.019926040942968036	0.0011752035264097549	0.007343546776518258	0.007454255124341513	6.122281668672183e-4	0.012225538975333919	3.6885996451406833e-6	0.005931152662597788	0.03659912478985001	0.07534008302909204	0.01823433148992655	3.534136137830187e-5	0.0011708261961273308	0.11304076035681941	0.06747737303970339	0.03928956545206389	0.0066331275034069645	0.013477203163662943	0.0021183619612456543	0.02780415188996024	0.005762927242070775	4.400746172014602e-5	0.002705552063916855	0.0044120965776092095	0.05745865851088366	0.0068089015512289046	0.015400894578862819	0.03712736126640789	0.0801373358299352	0.020973702990227827	0.005737392191902328	0.057175394920403445	0.005509907056750439	0.006651784566944632	0.006065808917484319	0.015483135943599126	0.010595421649735417	0.010646571602449915	0.00467337364167641	0.01237574878328888	0.009502567863902363	0.0022270675614560996	0.069478704208584	1.6808085984043865e-4	0.0073779444461842605	0.01997466636079168	0.0417285598187747	0.02423169507770904	0.048751862498690034	0.11433312060145351	0.03170234115038353	0.00854632609962359	7.045515316465189e-4	0.025374128142153438	0.006826591834361108	0.017407733429060924	0.012183696760109676	0.006851686623152988	2.7449495372926935e-4	0.006997848909068465	0.009388364190180434	0.0014390800987158312	0.0605630292534719	0.0026105004573739694	0.007028585491835618	1.4435858904572846e-4	7.003801316188744e-5	0.04752309585350087	0.009940180427772427	0.0035470399736442335	0.04925604104181486	0.011729771956927062	3.949256250270166e-4	0.013593763275341541	0.04632361634512153	7.372565810725844e-4	5.915660203306801e-5	0.06340631759439831	0.004719396690369171	0.004276963639970573	6.456219968010311e-7	0.0033013131285858557	0.06778607831317052	0.015079535527408315	0.0021467552309272974	0.005452019358264933	0.011893603873513871	1.4422369173195133e-4	0.0031289796382379708	0.010397598597333493	1.5146919164925066e-4	0.003749081090774433	7.583070454408081e-4	0.00246873313489817	0.011339777844656326	0.0015905785589670454	4.957680565518594e-4	0.05504638766187657	0.001539632647113382	0.0035323539175524696	0.01698991385189576	5.943520542624262e-4	0.004312661130401776	0.011162035573880359	2.4634276520941654e-4	0.009694827687234621	0.04268056674413273	0.0050819174447548085	0.003522362625500373	0.0024373771843967744	0.012005284245710552	0.005944158507501602	0.01068104155190579	0.034025552662083895	5.4257570804976574e-5	0.007910270117824462	0.001969659226006413
SAHUL4.3.08a	3.3580703834699846e-4	1	0.011808813849873555	0.04235779712543458	0.019030294165100086	0.008052995213313447	0.004171647424191891	0.06609992408225024	0.0399565664540061	0.0013551368899443917	0.006888898279262613	8.79890311559563e-4	0.011602542833821361	0.25582412036663144	0.0018203367832297294	0.00143847514296778	4.410650393201456e-4	0.0056950750322511045	0.04407862757783131	1.61475234119727e-4	0	0.029309183489144543	0.1000598438582479	0.07910282080532254	0.07652554387336602	0.07037591466271675	8.029827175445611e-4	0.03269348125019404	9.213425619313175e-4	0.02675701399055094	0.0012566369598146468	1.583133188834531e-4	0.004976264287970248	3.929906804325773e-4	0.0021722324164558902	0.0025599114547801543	0.002692457905245287	0.017054562195518402	0.022218781684818074	0.007961562800914465	0.006396689573676583	0.01704475433607249	0.0020468664900701906	1.1208011678561282e-4	1.1792557297840264e-5	3.898583892770835e-4	0.0029588238287480482	0	7.652066308534768e-4	0.0060807732478144515	0.009644625852305919	0.0011953034683866747	0.0010535834465630338	0.0015554850141988553	1.5580167768063666e-4	0.004991986145229676	0.0020646244123493887	0.003317013240857696	0.00101394070305324	4.6964781347352315e-4	0.025575009970457002	0.0017536324440715263	0.0017536324440715263	0.027205043877528534	0.013360522951564898	0.0011196883085522265	0.002163759607550153	8.221270560280937e-4	0.0027652534169864034	0.0016826139475823764	0.009649376280778199	0.029611606567876942	0.006943453561051536	0.0010738337965881149	7.024607503531061e-4	7.540928361480847e-4	0.0065688070844145885	0.005397659388554569	0.012173120954620635	0.0025167851209410333	0.003909198790711845	0.03124796325821854	0.007315113008455679	0.05050886497754931	7.942499969319635e-5	0.00535747614485437	0.002826013997873598	0.007412523146703006	0.015130667708359621	0.015579515558082775	0.07033300654158481	0.08250018034896305	0.0037379512426946684	0.0033784437328840825	0.043310967318346084	4.738356027970511e-4	0.020278877326889176	0.002045766297499239	0.006830217384413323	0.0040181513874647315	0.0011380884326262048	0.01492583765992935	5.706225816015058e-5	0.02532034146129415	0.010090208329495481	0.003665954610414658	1.9072788884933763e-4	0.0027511598119871923	0.0011737947741750458	0.01199711033730906	0.002491802937749506	0.002912675456292463	0.0037705728188900233	0.004211121779532113	1.3213683082300543e-4	0.001292854846776807	0.036297412315417936	0.0036975589698691955	0.005123591019983719	0.0711743118643125	5.897466449730447e-5	0.03371628942742405	0.014300329915472268	0.0031900810138544965	2.165691661413842e-4	0.001361821821238229	0.02514101032977427	0.015204408389540442	0.012628438981185276	0.013540082987479989	2.982041778518355e-5	0.002434374487338846	0.007359625037540389	2.614142046262098e-4	1.1275670183902113e-4	0.009383583394501785	7.523986238221723e-4	2.493317119692039e-4	1.1208011678561282e-4	0.08627557543109611	0.030085420086690653	1.651380913580046e-7	0.006680713056646983	0.016042114258614213	0.0075128235603760234	0.008634925153879999	0.049899296204695534	0.0018765332515822011	0.03715404265966371	0.004328786250703808	0.04204282165845831	5.706225816015058e-5	0.0018416683148172778	0.04783056069193069	0.01577048694786631	0.0021716323630372528	0.0011495844316964131	0.0031354014317723604	0.08050612792627988	0.016378096913951957	0.04694531401812503	0.0018672008734848394	0.0032583534487559294	6.559380747395812e-4	0.009366254170703331	0.001964108921925439	0.0011699017013711865	5.706225816015058e-5	0.048322131760780755	1.4978830396377826e-4	0.007188683225235467	3.943827983739153e-5	0.0369625150717469	0.0013481033253789946
SAHUL127	0.007770455654869236	0.012233465615959232	1	0.11287297746586547	0.009216013026217712	0.0010324829339284733	0.0027292852610222864	0.01882369132476082	0.033028032368710845	0.0192504418592584	0.0172122408215297	0.0014485756420644384	0.0060125394996206945	9.657036694855876e-4	0.011605241757225165	0.0038428850474688065	0.10153112692008637	0.014994158440914587	0.0034354741101480127	0.015610448997102165	0.010738225702550806	0.00953399279737073	0.0031359245980780784	0.007767973011233964	8.121427772412599e-4	0.012331263378197009	0.009008497835840523	0.006457165701861885	0.05788336604261531	0.037990799561188636	5.8531930305890755e-6	0.004642728458507457	0.007174181603293076	0.007151727023199999	0.020414244505129114	0.0068019617378993705	3.0385412922229542e-5	0.01089097702776666	0.014047836742185722	0.010030938153590758	1.1457207420180444e-4	0.0020040356474806034	0.009406767559096044	0.002502953664337269	0.018962220484268513	0.02223840388967206	0.003195421117992188	0.18270966605904237	0.024193832070213837	0.005864379654757389	0.0011585765063607883	8.634654617174398e-4	0.021341044220304403	0.021858459402489115	0.022904834132761787	0.008153483379086682	0.014154903533738075	0.011583858166707902	1.9573487610775425e-4	2.3852322085175264e-4	0.02893101501554937	0.05604480830228345	0.005004537356590757	0.01516166603596839	0.0057938111042186505	0.019881490651907956	0.019492000939405906	0.010059182314600961	0.003096339609254772	0.008094750900697415	0.10923406603540343	0.0016886331225176483	0.025636708401978472	4.6096512162730124e-6	2.8829530629109415e-4	0.020672338880584906	0.010433866947528445	0.008637992474186016	0.11288827521891621	0.016008748209834115	7.898539733376825e-4	2.9165219723545494e-6	0.0022687852864230694	0.0010786716170168658	0.003429004346546142	0.030923208761266457	0.03168001879136652	0.014423833609492266	0.04493711725805215	0.009550140842364462	0.00748322443751226	8.264857177604957e-4	0.009165583764685004	0.04690281678329527	0.0019912383640105103	0.07715500186784924	0.01576322662893797	0.0016915604713525177	0.022620375273304287	0.01559837718534399	0.008216788428046884	1.2182270225291045e-4	3.370952139096488e-6	0.029201360198883548	0.009361618186342659	0.07981521567064029	0.01728362789676703	0.05330507139534279	4.03882490125331e-4	7.540164417471887e-4	0.08915514368396961	9.662192939348596e-4	2.947540046045565e-6	0.007097352556344035	0.016484694752194384	0.008320944256628396	0.002316062832575374	0.017131859469553368	0.0014547489053291598	5.985640436347726e-6	0.017465085355062034	0.07155399657878847	6.412824413838322e-5	0.00611397892711253	0.05197183642065724	0.002922748636330173	0.002168325299897712	0.05241282006710259	0.07383501618083758	0.029629622212626314	0.007704001227217866	0.24694564671334418	0.003238118240316724	0.03568296461382686	0.03194790533869394	8.435098736188106e-4	0.0022377817588081226	0.00570695194574292	0.008951789903292692	0.002851933147021654	6.78663598624511e-4	0.025994467803535933	0.0010386261315456482	0.0024879502452367927	0.007374885276101355	0.037203771557688496	0.002922748636330173	0.002580060665375858	0.0015891342628563318	0.0013596759917652483	8.337043914334302e-4	9.617126829549914e-4	0.01973613087733733	0.020658126532882272	0.008816528835839811	2.2619043390631114e-4	0.010258071960817846	0.024505889486379006	0.09570337771019372	0.0012745184848551422	0.012385310749307094	0.011155050135452866	8.537160905969374e-5	0.0038162588562823405	0.007403930680196589	0.013220647659548189	0.03242386868342653	1.5117930086479323e-5	0.05209306168737903	0.01635386081589179	0.07075717403124747	0.02510372153150228	0.0018192047212371738	0.001687309475586584
SAHUL097	0.0069985790534379255	0.01369915903942583	0.0498854480942556	1	0.016649271544497416	0.009161047722620531	0.18199889016665563	0.08634866876248821	0.09459262979554889	0.020619453542789747	0.03111457700808799	0.0049457141061157155	0.002681229914135248	0.043318159631914877	0.001318956930772265	0.03942474851671225	0.008395748813309616	0.007484452975025725	0.0026421064263752888	0.0012499726573629419	0.007765478080245955	0.024262571313375635	0.010154718933761459	0.008058957631399383	0.05869832991321853	0.02788517055011529	0.018462082765261744	0.011945212027465126	0.016071185685406327	0.03846606330480044	0.020393029540976746	0.018324568382865558	0.020688032634619005	0.011512993215195975	0.0014272980563717708	0.0026511635392108407	0.11310217409773017	0.008251251867618933	0.006925866424912374	0.015698359429561565	0.0012159609818015514	0.013902952363215641	0.12160472748386082	0.0018011727720379659	0.001228869686136783	0.020520100822348186	9.573767370754711e-4	0.007739395903208054	0.011140681891400252	1.6898452461919258e-4	0.04917163468805626	0.001079406628994758	0.012710269235341722	0.0191712288826489	9.548062872077101e-4	0.018249218284967526	0.014883935644317014	0.01800754980605211	0.005998272880006167	0.003941809380083272	0.002525621603288873	0.01766405519016874	0.052654378094686684	0.027064174569053877	6.905006298075142e-4	0.07501601733169491	0.07913868875247036	0.010795949625789855	9.9377609501841e-4	5.25509432097055e-4	0.08109456611117788	0.008454772069030211	0.0010991454293254566	0.042695873641117724	0.034008644864904194	0.015549919651000449	0.006598541270752972	0.027329925046551608	0.014241702230216848	0.025327238317659345	0.01103179893211243	1.1138417871334233e-4	0.05378488731518869	0.0039585007797593745	4.678644945756698e-5	0.02613055120463546	0.010391279325238686	0.010974010309362304	0.022313482446247288	0.006463906077124152	0.009759330938702116	0.12403077749102573	0.01663880752667074	0.012364434793966267	0.015562030419193977	0.010879654529718662	0.0026511635392108407	5.092664540134271e-4	2.9957064176997834e-4	0.01344360963522293	0.0031035495569060392	0.012411046777503421	0.004081406228918484	0.018227762986316322	0.05677724564921779	1.4573911055041524e-5	2.3744574944679786e-6	0.02850277713074119	0.03499937936180704	0.03472081430653977	0.01216953234828234	0.006524479228782323	0.0033836047223603886	0.016647575800247748	0.03016005149969933	0.007013066113707067	0.002165939978637999	0.005847571390171411	0.00885789531689819	0.04388127030197913	0.00809336520923608	0.018614564398611637	0.01348840520818672	0.008041828211572616	0.03976056346248734	0.008331826929504208	0.01349799612067709	0.007920216742443082	0.020009955511196408	0.011470762496356217	9.56227499373977e-4	0.015956240633207972	0.02357087640769819	0.0011992265874568122	0.0025387455215514654	0.008874469716743027	0.004385975201627919	0.07955067667469448	0.007210666132924325	0.02322852597174966	0.025744882073557657	0.03236313967182966	4.7144436353170214e-4	5.011993679445209e-4	0.022156458500246175	6.458806599941698e-4	0.0060559170098691655	0.00314224530635848	1.9670877463447297e-4	0.002512398491950681	0.00200241887729299	0.01638692215066442	0.03681522667131936	0.009350876964336736	0.01883644506969343	1.2622685986556672e-4	5.011993679445209e-4	0.010682304590869543	0.08634866876248821	0.024564426644944903	0.005111973912928195	0.001063093917001218	0.001417309441633338	0.0036383590651226853	0.03441685390633609	0.017364873083650017	0.00551827524555138	0.012420576245711211	0.04830423811900012	0.011023137523882467	0.007101223342295899	0.005526680456768487	0.007931989639025168	0.023068136468488452
SAHUL2.5.07	0.0022005934672486667	0.02203745204888443	0.009216013026217712	0.05155378444389302	1	0.07067208957407099	0.12364279451764103	0.05361656518272283	0.24302454044470756	0.0011372257203924826	8.763624773015539e-4	0.02542586113549871	1.2432017069597277e-5	0.0037928231362908656	0.002025795243987898	0.011122815595229278	0.014324791764540299	6.111595258857896e-4	0.004831003438391898	0.0138780046325437	0.016022113697159193	0.07474614646613299	1.4256014900828368e-4	0.0026674105196805705	0.008590429508001922	4.0278094188256506e-7	0.011771992989358574	0.01117017291988101	0.008749318246704886	0.03466926182329055	0.01210558095886181	0.06358053144626227	0.008424658105891228	0.033800791378540106	8.368468770951224e-4	0.013443164019580275	0.026443294949945486	0.015033999017403885	0.012893040321997085	0.0026658916382708664	0.10980542418324137	0.10105494528649847	0.09012246448123572	0.04428401098095526	0.003981642829154107	3.53823464323507e-6	0.017658100647391112	0.2068136592873385	0.00182378622126536	0.019911974923989002	0.04786226274528476	1.0060188250963856e-5	6.558982106836263e-4	0.003265779402133964	0.02110209177429071	0.0032049484811545372	0.007763499432283111	0.012570980863543585	0.018266071532336076	0.03204004217876587	0.007608653680272126	0.021380339853060447	0.010630352229122434	0.02310178119412464	0.020114961757062514	0.0163049697885143	0.04506732717845467	0.018772938443761288	0.02857967051400871	0.018672275946050677	0.2973015917309117	0.014280160746867629	0.019093682706926067	0.021832802956646725	0.015480726380259697	0.002385115309708872	6.553607160907564e-4	5.091036368004212e-4	0.01839132200536775	0.012452802170901214	0.10953223505706833	7.964165545046284e-4	0.01462377374654162	0.0012186744121865597	0.0032072585313693055	0.011128831267798102	0.0017728393509527747	0.00699100854050762	0.0021974780237160427	0.008257668917485065	0.25770693246952753	0.09734246190150664	0.04946520789241125	0.01814275112250874	0.03930312657763078	0.012175644870621298	7.9629875161809e-4	0.01986861050736933	0.004949427143454203	0.01737084610764663	0.029968825121488483	0.04706349421752684	5.430704373822931e-4	0.038646306075739406	0.12414541728420524	0.001244485041924096	8.527283295461708e-4	0.003657820577414381	0.030255829280200555	0.0072527037608880775	0.007701018342995357	0.003324161771657701	0.011617629727567481	0.011084031103683617	0.0095100433288516	0.011641247345814598	0.0023126499098510456	0.007221225171711849	0.0044397660730319125	0.018666419151811553	0.0079137800505576	0.005361845904985727	0.05571560779076634	8.264187561269195e-4	0.007786833820506694	0.04385165456505262	0.012747365735605119	0.00789907775914108	5.531106670122616e-4	0.032712495593073425	0.026998615087783912	0.0037167854916993572	0.02968788484892854	0.0018163660672661692	0.0011116058227514391	0.019514797877649013	0.03919869483309476	0.11032550904304893	0.08193523853392834	0.10899117292279278	0.01071710476946326	0.0685938766402565	0.007287326508262419	0.10002638813892266	0.005580599540836837	5.5718020870257485e-5	0.09696206628768313	0.0027498770688858245	0.08117448485826813	1.8354469519664737e-6	0.05115885891015226	0.0028089672021579595	4.5638339075108853e-4	0	0.032017571085699144	0.01948747790309363	0.001984926871008504	0.0133571716383592	0.014993607881154477	0.43761179032205205	0.0015542308765436684	1.8018412853307072e-4	0.016650884454074914	0.056611246246490256	0.05189199363348968	0.011363644689242385	8.079302317537422e-4	0.3622880592388422	1.368431954062438e-4	0.004918323599021438	0.004202816426272393	1.3309466188759917e-4	1.479795898690537e-5	0.011627095933465805
SAHUL096	0.07305039651446553	0.008408031713048554	0.0010049273496814258	0.02142581233131208	0.07256211035766821	1	0.02585740553044324	2.9659654432315295e-4	0.04332234348316313	0.021332585727583186	0.008926162710238095	0.09363076608837559	0.04269467404883121	9.013424032473267e-4	0.009815569847234558	0.020003267348572683	0.27825399663442807	0.009127465571436132	0.023822752396001432	0.003888206080908357	0.0064788822378008286	0.08699107849066008	0.025743219690497823	5.504387610528396e-4	1.760247820861665e-4	4.413304495743207e-4	0.0012045554430535304	0.06588752274411336	0.009557841831548505	0.04351700171851909	0.0010107217851489205	0.04581787812623387	0.004699252887004136	0.029507786767168753	0.009772299297966624	0.0070522201846811685	0.0023098878708549494	0.01928655191287566	6.001291981861119e-4	2.1906717410444474e-4	0.10184283120722125	0.00456979836785861	0.08940823104566552	0.009652459201035303	2.651877527487522e-4	0.019428242564144133	0.12817404461165452	0.06700347033442268	0.0010490147961151918	0.10334246282239289	0.020784976401673948	0.009381107388399326	1.2080476263018169e-4	0.07471029370189643	0.001803939874049239	0.02362738430951768	0.012080864410885536	0.048548673774028585	0.05745790390769277	4.176258401420895e-5	7.935948740597332e-4	0.004056008793489995	0.009369681557600838	0.030214082658957826	0.008402400787023277	0.036255833903392334	0.09461226344875405	0.025320450560256415	0.04829495236833895	0.07958893863796952	0.018978671068995832	0.0020416470344994525	0.01982819082985772	0.1314474244531597	0.07702816863542167	0.06068885734610624	0.009509571962492148	0.06164875250517445	0.0037870722503125934	0.03962388921060437	0.0016675028747526993	0.01388381693366064	0.016871603466372988	2.0495866460894e-4	0.01940719352673117	0.0357999536581876	9.690520016296341e-7	1.9484700451584714e-4	0.030997148020078937	0.012312538677420621	0.0015428401511933761	0.003006121343287122	0.03326837223617852	0.052940113825698694	0.0054213410184453656	0.009442954140888393	0.0020321359678868484	0.07803468975407435	2.81707951359778e-4	0.055558428592827044	6.1218284459054e-4	0.013051445609679002	0.002522710656938881	0.004371028567417801	0.06321536298976992	0.013601310391594864	0.011825736542334736	0.018020539158823252	0.010767408276228999	0.009729379528226502	0.053514292956569155	0.11997213731049511	0.0053313713902259745	0.001480415644639485	0.005143781381767364	0.011149929797895041	0.08975655141357924	0.0010475438276938112	0.011934899987635219	0.0023464127617222647	0.06483945562333226	2.0200947762063337e-4	0.10586678108768821	0.007803244680105568	0.06365198366716762	0.056096445380176364	0.03099536418903292	0.09936646647679834	0.017424677570703807	0.015751025944731756	0.03136923806483048	0.07692456516309289	0.08459859692245546	0.0018695236584675434	0.08876350156241156	0.032875113361774094	1.8605031871594684e-6	0.06888379771254045	0.17850830285981462	0.0013660389100594685	0.11847425713332724	0.023633751329876218	0.05454637464138333	0.09394310548884115	8.577226633403925e-4	0.006100372391996955	0.11509021764094371	0.13801914448420388	0.022920434983706404	0.032369156182180316	7.531430369781376e-4	0.002664264240294261	0.08383901746731966	0.006665383208658639	0.012353901404636153	0.02417102485669629	0.011149929797895041	2.8835985923645615e-4	4.8631809359468795e-4	0.05676468968050325	0.0016785385749853966	0.002139234696797032	0.051330045359046145	0.01848806972541923	0.016008264616695977	0.0945492112479053	0.021252135233474873	0.09953725458068947	0.04640654260681389	6.344603209869269e-4	0.05676468968050325	0.012140822768709937	0.05550034952486233	2.9659654432315295e-4
SAHUL095	0.026337024477579796	0.003212690289664562	0.0020870498091528364	0.2759458109133925	0.05623333049765934	0.016509608172529576	1	0.024121613549131515	0.032946663297457796	0.03361660713421064	0.009491146628709942	0.003172828039828071	0.009728325538983873	0.012379552838538513	0.01364823779755564	9.477469186462405e-6	0.02500692203663801	0.010420162254954938	0.0016285383299807512	0.017298580533963135	0.023677578723059145	0.07011593516554095	0.02946524334029488	0.031907919843973835	0.011828690033736591	5.134233281807235e-4	0.06151505397167343	0.036205459836362155	0.0012887628430712107	0.0026659320972509774	0.002842299195372137	0	0.0077452961975677135	0.002353930388266413	0.008567725469207962	0.001993799534026252	0.03179062972246467	1.5913686275325885e-4	0.03066546006935938	0.0010424275003695497	0.046437520124933115	0.011169409335017701	0.0882025869213109	8.994333173653486e-4	1.6219474136725204e-5	0.007567987638057319	1.1029091317674282e-4	0.392399051470664	0.036412464274384305	6.82089050418599e-4	0.06754513295608332	0.003200127530505384	0.015277991526040353	0.09061736808176055	0.007338832390088566	0.014659379136879007	0.044100245982076215	0.001167119483897514	6.67207602269277e-4	0.008807853443889043	7.0240768348002935e-6	9.60102417529426e-5	0.04769443001873126	0.003620012247383185	0.011191292751510271	0.016436281437715937	0.0017309828893936439	0.002960657410699817	3.325612360247956e-4	8.31906512416888e-4	0.1441944789452057	0.00583304122675211	0.0016093564446982027	0.031957959214823056	0.04626688854452053	7.496274495162083e-4	0.017645319813646504	0.009678791047903814	0.04725322658768142	0.011627123899486216	0.018744721069010033	0.008411742658494632	0.008612330898818693	0.00279227112453001	0.0019826413207314074	0.011638007274594374	0.005343629860318558	0.023494497465156555	0.011059581564408245	7.72583267431326e-4	0.032498379208263706	0.11407939912822485	0.09742917348903309	0.0031893170699421637	0.05518523621638017	0.01310284909267589	2.7993127936934154e-4	0.003026077477003063	1.5991680465757467e-4	0.02261666722472163	0.011662517649970184	0.0033253233717008865	1.9300469576966195e-4	0.005356207586920692	0.07284240057460406	6.883901111401533e-5	4.492983785369064e-4	0.009876780366266885	7.976096951214654e-4	0.006274924012898118	0.0038665557334459835	1.585639168010016e-4	8.082350578456304e-5	0.008987464955080224	0.05895944571716849	0.008277932844492627	1.44634672628169e-5	3.475662737286873e-5	4.3544004555111284e-4	0.11480314285576503	0.0032213080180916375	0.006265306987961327	0.001124798787057136	0.0025843573051145432	0.014550452919883456	0.025108100895592036	6.22751932801669e-4	0.0010212351671563227	0.017447111833349273	6.03068230302934e-4	0.0029676888034163656	0.029478383415993747	0.0572290400010446	0.007973952697014083	3.88748837044343e-5	0.07320512696376942	0.023274781497708022	0.09429806502896539	0.0035258668948362566	0.039797628087238204	0.003173650550729087	0.055704207114741625	4.1196390500953525e-4	0.02291774982014144	3.26714107707046e-4	1.3356873719007814e-4	0.07804706930245461	9.225355649595592e-4	0.05060720638174114	0.004375434540445617	0.07031804829981109	0.02388213254889519	0.02304838811968948	0.0025162012507447123	0.02456370251747982	0.007268791904434399	0.019594494058238786	0.003024014935918808	0.038686177978788754	0.0061601954360627756	0.005720904477193829	4.5785344595462244e-4	6.612235295511739e-4	6.612235295511739e-4	0.0010409534725702443	0.006265306987961327	3.895300057318513e-4	3.411013243365672e-4	0.01673547661734632	4.241837555819377e-5	0.011548988322873243	0.007560050347631963	0.0028021369179412276	0.010333848449289664
